college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,CRL,All India,Gender-Neutral,3710,7511,,,CRL,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,CRL,All India,Gender-Neutral,3710,8044,,,CRL,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,212,212,,,CRL-PwD,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,212,212,,,CRL-PwD,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,212,212,,,CRL-PwD,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,212,212,,,CRL-PwD,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,212,212,,,CRL-PwD,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Female-only (including Supernumerary),3246,3313,,,SC rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Female-only (including Supernumerary),3246,3313,,,SC rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Female-only (including Supernumerary),3246,3313,,,SC rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Female-only (including Supernumerary),3246,3313,,,SC rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Female-only (including Supernumerary),3246,3313,,,SC rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Gender-Neutral,1737,1996,,,SC rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Gender-Neutral,1737,2195,,,SC rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Gender-Neutral,1737,2195,,,SC rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Gender-Neutral,1737,2195,,,SC rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Gender-Neutral,1737,2195,,,SC rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,67,67,,,SC (PwD) rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,67,67,,,SC (PwD) rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,67,67,,,SC (PwD) rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,67,67,,,SC (PwD) rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,67,67,,,SC (PwD) rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Female-only (including Supernumerary),1493,1493,,,ST rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Female-only (including Supernumerary),1493,1493,,,ST rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Female-only (including Supernumerary),1493,1493,,,ST rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Female-only (including Supernumerary),1493,1493,,,ST rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Female-only (including Supernumerary),1493,1493,,,ST rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Gender-Neutral,746,1008,,,ST rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Gender-Neutral,746,1216,,,ST rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Gender-Neutral,746,1216,,,ST rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Gender-Neutral,746,1216,,,ST rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Gender-Neutral,746,1343,,,ST rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST (PwD),ST (PwD) rank,All India,Gender-Neutral,75,75,,,ST (PwD) rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST (PwD),ST (PwD) rank,All India,Gender-Neutral,75,75,,,ST (PwD) rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST (PwD),ST (PwD) rank,All India,Gender-Neutral,75,75,,,ST (PwD) rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST (PwD),ST (PwD) rank,All India,Gender-Neutral,75,75,,,ST (PwD) rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST (PwD),ST (PwD) rank,All India,Gender-Neutral,75,75,,,ST (PwD) rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 1,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),4312,4312,,,GEN-EWS rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 2,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),4312,4312,,,GEN-EWS rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 3,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),4312,4312,,,GEN-EWS rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 4,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),4312,4312,,,GEN-EWS rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 5,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),4312,4312,,,GEN-EWS rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 1,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,EWS,GEN-EWS rank,All India,Gender-Neutral,2692,2789,,,GEN-EWS rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 2,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,EWS,GEN-EWS rank,All India,Gender-Neutral,2740,2803,,,GEN-EWS rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 3,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,EWS,GEN-EWS rank,All India,Gender-Neutral,2740,2803,,,GEN-EWS rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 4,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,EWS,GEN-EWS rank,All India,Gender-Neutral,2740,2803,,,GEN-EWS rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 5,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,EWS,GEN-EWS rank,All India,Gender-Neutral,2740,2803,,,GEN-EWS rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 1,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),9287,10596,,,OBC-NCL rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 2,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),10596,13007,,,OBC-NCL rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 3,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),10596,13007,,,OBC-NCL rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 4,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),10596,13502,,,OBC-NCL rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 5,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),10596,13502,,,OBC-NCL rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 1,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,4521,6022,,,OBC-NCL rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 2,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,5855,6543,,,OBC-NCL rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 3,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,5855,6543,,,OBC-NCL rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 4,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,5855,6543,,,OBC-NCL rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 5,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,5855,6543,,,OBC-NCL rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 1,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,530,530,,,OBC-NCL (PwD) rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 2,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,973,973,,,OBC-NCL (PwD) rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 3,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,973,973,,,OBC-NCL (PwD) rank,SRC003,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",301,2024,JoSAA,Round 4,Regular JoSAA round,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,973,973,,,OBC-NCL (PwD) rank,SRC003,
