college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,7026,8796,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OBC-NCL (PwD),OBC-NCL (PwD) category rank,Home State,Gender-Neutral,913,913,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OPEN,CRL,Home State,Female-only (including Supernumerary),25754,30082,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OPEN,CRL,Home State,Gender-Neutral,8511,26460,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OPEN (PwD),OPEN-PwD rank,Home State,Gender-Neutral,1642,1642,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,SC,SC category rank,Home State,Female-only (including Supernumerary),6321,7331,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,SC,SC category rank,Home State,Gender-Neutral,3489,5168,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,ST,ST category rank,Home State,Female-only (including Supernumerary),1551,1551,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,ST,ST category rank,Home State,Gender-Neutral,1026,1470,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,EWS,EWS category rank,Other State,Female-only (including Supernumerary),4585,4585,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,EWS,EWS category rank,Other State,Gender-Neutral,3522,3634,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OBC-NCL,OBC-NCL category rank,Other State,Female-only (including Supernumerary),12302,13575,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OBC-NCL,OBC-NCL category rank,Other State,Gender-Neutral,6824,8811,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OBC-NCL (PwD),OBC-NCL (PwD) category rank,Other State,Gender-Neutral,632,632,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OPEN,CRL,Other State,Female-only (including Supernumerary),16784,28381,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OPEN,CRL,Other State,Gender-Neutral,18617,22184,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OPEN (PwD),OPEN-PwD rank,Other State,Gender-Neutral,660,660,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,SC,SC category rank,Other State,Female-only (including Supernumerary),5356,5799,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,SC,SC category rank,Other State,Gender-Neutral,3247,4527,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,ST,ST category rank,Other State,Female-only (including Supernumerary),2681,2681,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,ST,ST category rank,Other State,Gender-Neutral,1861,2068,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,EWS,EWS category rank,Home State,Female-only (including Supernumerary),5809,5809,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,EWS,EWS category rank,Home State,Gender-Neutral,4591,4689,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OBC-NCL,OBC-NCL category rank,Home State,Female-only (including Supernumerary),13057,14355,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,8147,9495,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN,CRL,Home State,Female-only (including Supernumerary),30183,36539,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN,CRL,Home State,Gender-Neutral,14341,29650,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN (PwD),OPEN-PwD rank,Home State,Gender-Neutral,353,439,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,SC,SC category rank,Home State,Female-only (including Supernumerary),2632,4167,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,SC,SC category rank,Home State,Gender-Neutral,2045,3944,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,SC (PwD),SC (PwD) category rank,Home State,Gender-Neutral,88,88,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,ST,ST category rank,Home State,Female-only (including Supernumerary),1944,1944,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,ST,ST category rank,Home State,Gender-Neutral,378,545,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,EWS,EWS category rank,Other State,Female-only (including Supernumerary),6135,6135,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,EWS,EWS category rank,Other State,Gender-Neutral,4235,4489,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,EWS (PwD),EWS (PwD) category rank,Other State,Gender-Neutral,238,238,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OBC-NCL,OBC-NCL category rank,Other State,Female-only (including Supernumerary),12188,14650,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OBC-NCL,OBC-NCL category rank,Other State,Gender-Neutral,9204,9915,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN,CRL,Other State,Female-only (including Supernumerary),32829,38497,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN,CRL,Other State,Gender-Neutral,18397,27548,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN (PwD),OPEN-PwD rank,Other State,Gender-Neutral,578,578,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
