college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,772,1019,,,CRL-PwD,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,772,1019,,,CRL-PwD,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,772,1019,,,CRL-PwD,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,915,1082,,,CRL-PwD,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC,SC rank,All India,Female-only (including Supernumerary),4417,6111,,,SC rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC,SC rank,All India,Female-only (including Supernumerary),4417,6823,,,SC rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC,SC rank,All India,Female-only (including Supernumerary),4417,6963,,,SC rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC,SC rank,All India,Female-only (including Supernumerary),4417,6963,,,SC rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC,SC rank,All India,Female-only (including Supernumerary),4417,6963,,,SC rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC,SC rank,All India,Gender-Neutral,3702,4737,,,SC rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC,SC rank,All India,Gender-Neutral,3874,5027,,,SC rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC,SC rank,All India,Gender-Neutral,3874,5027,,,SC rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC,SC rank,All India,Gender-Neutral,3874,5027,,,SC rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC,SC rank,All India,Gender-Neutral,3874,5209,,,SC rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,77,77,,,SC (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,141,141,,,SC (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,141,141,,,SC (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,141,141,,,SC (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,141,141,,,SC (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,ST,ST rank,All India,Female-only (including Supernumerary),2431,2732,,,ST rank,SRC003,
